#,Open Time,Type,Lots,Symbol,Price,Stop/Loss,Take Profit,Close Time,Close Price,Profit,Comment,MagicNumber
80954195,2018.01.15 00:05,0,0.02,GBPUSD,1.37301,1.36743,1.48461,2018.01.15 03:39,1.37348,0.94,,20170909
80954198,2018.01.15 00:05,0,0.02,AUDUSD,0.791,0.78739,0.8632,2018.01.15 03:39,0.79259,3.18,,20170909
80954202,2018.01.15 00:05,1,0.02,USDJPY,111.076,111.585,100.896,2018.01.15 03:39,110.828,4.48,,20170909
80954214,2018.01.15 00:05,0,0.02,NZDUSD,0.72439,0.72071,0.79799,2018.01.15 03:39,0.72641,4.04,,20170909
80954255,2018.01.15 00:05,0,0.02,EURUSD,1.22001,1.21418,1.33661,2018.01.15 03:39,1.21914,-1.74,,20170909
80954377,2018.01.15 00:08,1,0.02,USDJPY,111.023,111.534,100.803,2018.01.15 03:39,110.821,3.65,bbMacd - short 0.02 on USDJPY,20180112
80955143,2018.01.15 01:05,0,0.02,GOLD,1336.64,1328.71,1493.14,2018.01.15 03:39,1337.61,1.94,IchimokuV1.0- long 0.02 on GOLD,20180113
80958929,2018.01.15 04:00,1,0.02,USDJPY,110.726,111.253,100.249,2018.01.15 08:11,110.75,-0.43,,20170909
80958932,2018.01.15 04:00,0,0.03,EURUSD,1.21991,1.21433,1.33172,2018.01.15 08:11,1.22195,6.12,,20170909
80958937,2018.01.15 04:00,0,0.02,AUDUSD,0.79348,0.78986,0.86588,2018.01.15 08:11,0.79511,3.26,,20170909
80958939,2018.01.15 04:00,1,0.02,USDCAD,1.24542,1.25108,1.13222,2018.01.15 08:11,1.24475,1.08,,20180113
80958941,2018.01.15 04:00,0,0.02,NZDUSD,0.72722,0.72346,0.80242,2018.01.15 08:11,0.72694,-0.56,,20170909
80958943,2018.01.15 04:00,0,0.02,GBPUSD,1.37419,1.36883,1.48349,2018.01.15 08:11,1.37546,2.54,,20170909
80959222,2018.01.15 04:10,0,0.02,NZDUSD,0.728,0.72416,0.80459,2018.01.15 08:11,0.72694,-2.12,bbMacd- long 0.02 on NZDUSD,20180112
80960335,2018.01.15 05:00,0,0.02,GOLD,1341.04,1333.19,1497.62,2018.01.15 08:11,1343.65,5.22,IchimokuV1.0- long 0.02 on GOLD,20180113
80964808,2018.01.15 08:11,0,0.02,EURUSD,1.2222,1.21633,1.33834,2018.01.15 08:11,1.22221,0.02,,20170909
80964811,2018.01.15 08:11,0,0.02,AUDUSD,0.79528,0.79149,0.87108,2018.01.15 16:26,0.79581,1.06,,20170909
80964813,2018.01.15 08:11,1,0.03,USDJPY,110.732,111.261,100.131,2018.01.15 12:47,110.62,3.04,,20170909
80964814,2018.01.15 08:11,1,0.02,USDCAD,1.24455,1.24997,1.13615,2018.01.15 12:47,1.24214,3.88,,20180113
80964817,2018.01.15 08:11,0,0.01,GBPUSD,1.37572,1.37018,1.48652,2018.01.15 12:35,1.38133,5.61,to #80973859,20170909
80964820,2018.01.15 08:11,0,0.03,NZDUSD,0.72718,0.72334,0.80398,2018.01.15 12:47,0.72895,5.31,,20170909
80964823,2018.01.15 08:11,0,0.03,NZDUSD,0.72716,0.72334,0.80398,2018.01.15 12:06,0.72894,5.34,bbMacd- long 0.03 on NZDUSD,20180112
80966139,2018.01.15 09:00,0,0.02,GOLD,1341.21,1333.42,1497.01,2018.01.15 09:13,1341.81,1.2,IchimokuV1.0- long 0.02 on GOLD,20180113
80971651,2018.01.15 12:00,0,0.02,EURUSD,1.22611,1.22009,1.34651,2018.01.15 12:47,1.22766,3.1,,20170909
80973859,2018.01.15 08:11,0,0.01,GBPUSD,1.37572,1.37018,1.48652,2018.01.15 12:47,1.38049,4.77,from #80964817,20170909
80974348,2018.01.15 12:47,0,0.02,GBPUSD,1.38073,1.37459,1.50353,2018.01.15 16:26,1.37965,-2.16,,20170909
80974356,2018.01.15 12:47,0,0.02,NZDUSD,0.72913,0.72528,0.80718,2018.01.15 16:26,0.72978,1.3,,20170909
80974364,2018.01.15 12:47,1,0.02,USDCAD,1.24194,1.24751,1.13054,2018.01.15 16:26,1.2429,-1.54,,20180113
80974365,2018.01.15 12:47,1,0.02,USDJPY,110.605,111.137,99.965,2018.01.15 16:26,110.587,0.33,,20170909
80974850,2018.01.15 13:00,0,0.02,GOLD,1343.41,1335.72,1497.21,2018.01.15 16:26,1341.39,-4.04,IchimokuV1.0- long 0.02 on GOLD,20180113
80979193,2018.01.15 16:00,0,0.02,EURUSD,1.22839,1.22228,1.35122,2018.01.15 16:26,1.22773,-1.32,,20170909
80979955,2018.01.15 16:26,0,0.03,GBPUSD,1.37988,1.37379,1.50168,2018.01.15 16:26,1.37968,-0.6,,20170909
80979956,2018.01.15 16:26,1,0.02,USDJPY,110.571,111.088,100.231,2018.01.15 16:26,110.584,-0.24,,20170909
80979960,2018.01.15 16:26,1,0.03,USDCAD,1.24271,1.24827,1.13109,2018.01.15 16:27,1.2429,-0.46,,20180113
80979961,2018.01.15 16:26,0,0.02,AUDUSD,0.796,0.79225,0.87079,2018.01.15 16:27,0.79586,-0.28,,20170909
80979962,2018.01.15 16:26,0,0.02,NZDUSD,0.73007,0.72618,0.80745,2018.01.15 16:27,0.72986,-0.42,,20170909
80987802,2018.01.16 03:34,6,0.01,,0,0,0,2018.01.16 03:34,0,-342,CW-PAY-UP 1898238p,0
80990605,2018.01.16 06:07,6,0.01,,0,0,0,2018.01.16 06:07,0,355.58,CD-PAY-UP 14159088,0
80990606,2018.01.16 06:07,6,0.01,,0,0,0,2018.01.16 06:07,0,5.42,EXP05-PAY-UP 14159088,0
80992798,2018.01.16 08:39,0,0.03,NZDUSD,0.72918,0.72542,0.80438,2018.01.16 14:37,0.72706,-6.36,IchimokuV1.0- long on NZDUSD,20170909
80993750,2018.01.16 09:08,0,0.02,GOLD,1339.75,1332.54,1483.74,2018.01.16 12:38,1332.46,-14.58,IchimokuV1.0- long on GOLD[sl],20170909
80994258,2018.01.16 09:11,1,0.02,USDCHF,0.96514,0.96954,0.87861,2018.01.16 14:37,0.96449,1.35,IchimokuV1.0- short on USDCHF,20170909
81000521,2018.01.16 12:00,0,0.04,GBPUSD,1.37668,1.37085,1.49328,2018.01.16 14:37,1.37552,-4.64,IchimokuV1.0- long on GBPUSD,20170909
81000531,2018.01.16 12:00,0,0.03,EURUSD,1.22339,1.21732,1.34479,2018.01.16 14:37,1.22316,-0.69,IchimokuV1.0- long on EURUSD,20170909
81000535,2018.01.16 12:00,0,0.03,AUDUSD,0.79533,0.79167,0.86853,2018.01.16 14:37,0.79464,-2.07,IchimokuV1.0- long on AUDUSD,20170909
81000588,2018.01.16 12:03,1,0.02,USDCAD,1.24317,1.24817,1.14275,2018.01.16 14:37,1.24367,-0.8,IchimokuV1.0- short on USDCAD,20170909
81009807,2018.01.16 18:05,1,0.02,USDCAD,1.24019,1.24543,1.13581,2018.01.17 07:16,1.24544,-8.43,bbMacd - short 0.02 on USDC[sl],20180112
81009808,2018.01.16 18:05,1,0.02,USDCAD,1.24019,1.24543,1.13581,2018.01.17 07:16,1.24544,-8.43,bbMacd - short 0.02 on USDC[sl],20180112
81015104,2018.01.17 00:00,0,0.04,EURUSD,1.22623,1.22008,1.34923,2018.01.17 14:35,1.22009,-24.56,IchimokuV1.0- long on EURUS[sl],20170909
81015108,2018.01.17 00:00,1,0.02,USDCHF,0.95898,0.96337,0.87118,2018.01.17 08:52,0.96345,-9.28,IchimokuV1.0- short on USDC[sl],20170909
81015110,2018.01.17 00:00,0,0.03,GBPUSD,1.37964,1.37419,1.48864,2018.01.18 03:34,1.38187,6.69,to #81055142,20170909
81015112,2018.01.17 00:00,1,0.03,USDJPY,110.437,110.916,100.752,2018.01.17 07:29,110.919,-13.04,IchimokuV1.0- short on USDJ[sl],20170909
81020575,2018.01.17 04:00,0,0.04,AUDUSD,0.79869,0.79508,0.87089,2018.01.17 06:58,0.79508,-14.44,IchimokuV1.0- long on AUDUS[sl],20170909
81022373,2018.01.17 05:00,0,0.03,GOLD,1339.98,1332.7,1485.16,2018.01.17 18:38,1331.39,-25.77,IchimokuV1.0- long on GOLD[sl],20170909
81031698,2018.01.17 11:12,0,0.03,GBPUSD,1.37804,0,0,2018.01.17 12:47,1.37963,4.77,,0
81031706,2018.01.17 11:12,0,0.03,EURUSD,1.22247,0,0,2018.01.17 12:47,1.22321,2.22,,0
81031708,2018.01.17 11:13,0,0.03,GOLD,1335.55,0,0,2018.01.17 12:47,1337.83,6.84,,0
81038798,2018.01.17 16:00,0,0.05,AUDUSD,0.79729,0.79363,0.87049,2018.01.18 15:51,0.79869,7,IchimokuV1.0- long on AUDUSD,20170909
81045815,2018.01.17 20:00,0,0.02,NZDUSD,0.73075,0.72716,0.80234,2018.01.17 23:54,0.72716,-7.18,IchimokuV1.0- long on NZDUS[sl],20170909
81051160,2018.01.18 00:00,1,0.02,USDCAD,1.24327,1.24967,1.12241,2018.01.18 15:51,1.24766,-7.04,IchimokuV1.0- short on USDCAD,20170909
81054710,2018.01.18 03:15,0,0.05,USDJPY,111.287,110.577,0,2018.01.18 06:51,111.343,2.51,,0
81054729,2018.01.18 03:16,1,0.05,EURUSD,1.21881,1.22304,0,2018.01.18 06:51,1.21961,-4,,0
81054783,2018.01.18 03:18,1,0.05,GOLD,1326.63,1332.28,0,2018.01.18 06:51,1327.05,-2.1,,0
